"id","name","usage","this_for_all"
"stock.stock_location_locations_partner","Partner Locations","View","True"
"stock.stock_location_customers","Customers","Customer Location","True"
"stock.stock_location_suppliers","Vendors","Vendor Location","True"
"stock.stock_location_locations","Physical Locations","View","True"
"stock.stock_location_stock","Stock","Internal Location","True"
"stock.stock_location_locations_virtual","Virtual Locations","View","True"
"stock.stock_location_inter_wh","Inter Company Transit","Transit Location","True"
"stock.location_inventory","Inventory loss","Inventory Loss","True"
"stock.location_procurement","Procurements","Procurement","True"
"stock.location_production","Production","Production","True"
"stock.stock_location_scrapped","Scrapped","Inventory Loss","True"
